x0000,y0000
-0.000025,-0.012060301
-0.0000249315,-0.012060301
-0.0000248629,-0.012060301
-0.0000247944,-0.012060301
-0.0000247259,-0.012060301
-0.0000246573,-0.012060301
-0.0000245888,-0.0060301507
-0.0000245203,-0.0060301507
-0.0000244518,-0.012060301
-0.0000243832,-0.0060301507
-0.0000243147,-0.0060301507
-0.0000242462,-0.012060301
-0.0000241776,-0.0060301507
-0.0000241091,-0.0060301507
-0.0000240406,0.
-0.0000239720,0.
-0.0000239035,0.
-0.000023835,-0.0060301507
-0.0000237664,-0.0060301507
-0.0000236979,-0.0060301507
-0.0000236294,-0.0060301507
-0.0000235609,0.
-0.0000234923,-0.0060301507
-0.0000234238,-0.0060301507
-0.0000233553,-0.0060301507
-0.0000232867,0.
-0.0000232182,-0.0060301507
-0.0000231497,-0.0060301507
-0.0000230811,-0.012060301
-0.0000230126,-0.012060301
-0.0000229441,-0.0060301507
-0.0000228755,-0.0060301507
-0.0000228070,-0.012060301
-0.0000227385,-0.012060301
-0.00002267,-0.012060301
-0.0000226014,-0.012060301
-0.0000225329,-0.012060301
-0.0000224644,-0.012060301
-0.0000223958,0.
-0.0000223273,-0.012060301
-0.0000222588,-0.012060301
-0.0000221902,-0.0060301507
-0.0000221217,-0.0060301507
-0.0000220532,-0.0060301507
-0.0000219846,-0.0060301507
-0.0000219161,0.
-0.0000218476,-0.0060301507
-0.0000217791,-0.0060301507
-0.0000217105,-0.0060301507
-0.000021642,-0.0060301507
-0.0000215735,-0.0060301507
-0.0000215049,-0.0060301507
-0.0000214364,-0.0060301507
-0.0000213679,-0.0060301507
-0.0000212993,-0.0060301507
-0.0000212308,-0.012060301
-0.0000211623,-0.012060301
-0.0000210937,-0.012060301
-0.0000210252,-0.012060301
-0.0000209567,-0.0060301507
-0.0000208882,-0.012060301
-0.0000208196,-0.012060301
-0.0000207511,-0.0060301507
-0.0000206826,-0.0060301507
-0.0000206140,-0.012060301
-0.0000205455,-0.012060301
-0.000020477,-0.012060301
-0.0000204084,-0.012060301
-0.0000203399,-0.0060301507
-0.0000202714,-0.0060301507
-0.0000202029,0.
-0.0000201343,-0.0060301507
-0.0000200658,-0.0060301507
-0.0000199973,-0.0060301507
-0.0000199287,-0.0060301507
-0.0000198602,0.
-0.0000197917,-0.012060301
-0.0000197231,-0.0060301507
-0.0000196546,0.
-0.0000195861,0.
-0.0000195175,-0.0060301507
-0.0000194490,-0.0060301507
-0.0000193805,-0.0060301507
-0.000019312,-0.012060301
-0.0000192434,-0.0060301507
-0.0000191749,-0.0060301507
-0.0000191064,-0.018090453
-0.0000190378,-0.018090453
-0.0000189693,-0.012060301
-0.0000189008,-0.0060301507
-0.0000188322,-0.012060301
-0.0000187637,-0.012060301
-0.0000186952,-0.012060301
-0.0000186266,-0.012060301
-0.0000185581,-0.012060301
-0.0000184896,-0.0060301507
-0.0000184211,-0.012060301
-0.0000183525,-0.0060301507
-0.000018284,-0.0060301507
-0.0000182155,0.
-0.0000181469,-0.0060301507
-0.0000180784,-0.0060301507
-0.0000180099,-0.012060301
-0.0000179413,-0.0060301507
-0.0000178728,-0.0060301507
-0.0000178043,-0.012060301
